2025/08/05 19:07:02 GET /api/products/all | Status: 200 | Duration: 1.680459ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:03 GET /api/products/all | Status: 200 | Duration: 1.469292ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:04 GET /api/products/all | Status: 200 | Duration: 1.32ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:05 GET /api/products/all | Status: 200 | Duration: 1.167208ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:06 GET /api/products/all | Status: 200 | Duration: 1.801375ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:06 GET /api/products/all | Status: 200 | Duration: 1.621708ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:07 GET /api/products/all | Status: 200 | Duration: 1.746042ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:07 GET /api/products/all | Status: 200 | Duration: 1.337167ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:08 GET /api/products/all | Status: 200 | Duration: 1.065084ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:09 GET /api/products/all | Status: 200 | Duration: 1.552583ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:09 GET /api/products/all | Status: 200 | Duration: 1.097708ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:11 GET /api/products/all | Status: 200 | Duration: 1.68775ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:12 GET /api/products/all | Status: 200 | Duration: 1.609167ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:14 GET /api/products/all | Status: 200 | Duration: 1.611125ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:14 GET /api/products/all | Status: 200 | Duration: 1.639833ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:16 GET /api/products/all | Status: 200 | Duration: 1.700208ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:16 GET /api/products/all | Status: 200 | Duration: 1.638542ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:17 GET /api/products/all | Status: 200 | Duration: 1.654458ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:17 GET /api/products/all | Status: 200 | Duration: 1.411584ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:19 GET /api/products/all | Status: 200 | Duration: 2.055042ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:19 GET /api/products/all | Status: 200 | Duration: 1.293833ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:19 GET /api/products/all | Status: 200 | Duration: 1.388541ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:20 GET /api/products/all | Status: 200 | Duration: 1.550958ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:20 GET /api/products/all | Status: 200 | Duration: 1.377042ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:21 GET /api/products/all | Status: 200 | Duration: 1.497417ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:21 GET /api/products/all | Status: 200 | Duration: 1.6185ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:22 GET /api/products/all | Status: 200 | Duration: 1.953708ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:22 GET /api/products/all | Status: 200 | Duration: 2.140541ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:23 GET /api/products/all | Status: 200 | Duration: 1.364458ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:07:23 GET /api/products/all | Status: 200 | Duration: 1.691167ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:15:05 POST /api/cart | Status: 201 | Duration: 4.368791ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:15:05 GET /api/cart | Status: 200 | Duration: 2.296375ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:15:13 POST /api/cart | Status: 201 | Duration: 3.243167ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:15:13 GET /api/cart | Status: 200 | Duration: 2.337666ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:15:18 GET /api/shop/2 | Status: 200 | Duration: 1.14775ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:15:18 GET /api/products/shop/2 | Status: 200 | Duration: 801.083µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:16:55 GET /api/order/113 | Status: 200 | Duration: 5.051291ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 19:16:55 GET /api/address | Status: 200 | Duration: 119.377708ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 19:16:55 GET /api/users/me | Status: 200 | Duration: 120.166042ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 19:16:55 GET /api/user-roles | Status: 200 | Duration: 119.832125ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 19:16:55 GET /api/wallet | Status: 200 | Duration: 120.4575ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 19:16:55 GET /api/cart/ | Status: 200 | Duration: 10.341584ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 19:17:07 GET /api/address | Status: 200 | Duration: 942.333µs | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 19:17:07 GET /api/wallet | Status: 200 | Duration: 2.068917ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 19:17:07 GET /api/user-roles | Status: 200 | Duration: 2.232875ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
